UserID,DeviceID,LogTime,S No
505,OX-8862021010096,2022-09-27 15:29:31,7533
270,OX-8862021010100,2022-09-27 15:33:37,18752
569,OX-8862021010079,2022-09-27 15:35:27,12553
275,OX-8862021010094,2022-09-27 15:31:32,11321
531,OX-8862021010100,2022-09-27 15:37:26,18753
582,OX-8862021010012,2022-09-27 15:36:53,6028
271,OX-8862021010098,2022-09-27 15:38:22,13380
270,OX-8862021010100,2022-09-27 15:38:09,18754
672,OX-8862021010014,2022-09-27 15:36:04,22942
128,OX-8862021010079,2022-09-27 15:41:27,12554
504,OX-8862021010100,2022-09-27 15:40:11,18755
570,FC-8300T20094179,2022-09-27 15:40:03,33942
275,OX-8862021010094,2022-09-27 15:38:33,11322
554,OX-8862021010024,2022-09-27 15:42:06,13982
582,OX-8862021010012,2022-09-27 15:41:52,6029
92,OX-8862021010003,2022-09-27 15:44:32,21785
124,OX-8862021010095,2022-09-27 15:41:15,10756
581,FC-8300T20094179,2022-09-27 15:43:24,33943
593,FC-8300T20094179,2022-09-27 15:44:34,33944
593,FC-8300T20094179,2022-09-27 15:44:38,33945
564,FC-8300T20094181,2022-09-27 15:43:43,20192
92,OX-8862021010003,2022-09-27 15:47:39,21786
92,OX-8862021010003,2022-09-27 15:47:50,21787
672,OX-8862021010014,2022-09-27 15:44:44,22943
234,OX-8862021010012,2022-09-27 15:48:20,6030
674,OX-8862021010100,2022-09-27 15:49:54,18756
68,OX-8862021010012,2022-09-27 15:50:04,6031
610,OX-8862021010092,2022-09-27 15:50:50,23613
640,OX-8862021010012,2022-09-27 15:51:39,6032
529,OX-8862021010092,2022-09-27 15:50:58,23614
581,FC-8300T20094179,2022-09-27 15:52:56,33946
597,OX-8862021010098,2022-09-27 15:55:43,13381
624,OX-8862021010082,2022-09-27 15:55:18,11552
290,OX-8862021010024,2022-09-27 15:57:19,13983
124,OX-8862021010095,2022-09-27 15:55:22,10757
652,OX-8862021010097,2022-09-27 15:56:06,8135
674,OX-8862021010100,2022-09-27 15:58:06,18757
597,OX-8862021010098,2022-09-27 15:59:07,13382
522,OX-8862021010092,2022-09-27 15:56:56,23615
529,OX-8862021010092,2022-09-27 15:57:08,23616
657,OX-8862021010097,2022-09-27 15:58:15,8136
610,OX-8862021010092,2022-09-27 15:59:18,23617
147,OX-8862021010094,2022-09-27 15:58:45,11323
50,OX-8862021010014,2022-09-27 16:00:36,22944
522,OX-8862021010092,2022-09-27 16:01:50,23618
621,OX-8862021010092,2022-09-27 16:04:04,23619
625,OX-8862021010002,2022-09-27 16:08:06,12557
256,OX-8862021010096,2022-09-27 16:03:47,7534
570,FC-8300T20094179,2022-09-27 16:06:44,33947
109,OX-8862021010015,2022-09-27 16:05:51,14874
626,OX-8862021010095,2022-09-27 16:06:49,10758
290,OX-8862021010024,2022-09-27 16:10:26,13984
607,OX-8862021010098,2022-09-27 16:10:53,13383
605,OX-8862021010015,2022-09-27 16:09:20,14875
549,FC-8300T20094179,2022-09-27 16:11:50,33948
624,OX-8862021010082,2022-09-27 16:12:46,11553
640,OX-8862021010012,2022-09-27 16:13:19,6033
73,FC-8300T20094179,2022-09-27 16:13:34,33949
234,OX-8862021010012,2022-09-27 16:14:15,6034
147,OX-8862021010094,2022-09-27 16:14:29,11324
625,OX-8862021010002,2022-09-27 16:18:05,12558
549,FC-8300T20094179,2022-09-27 16:17:24,33950
544,OX-8862021010099,2022-09-27 16:20:12,13383
567,OX-8862021010082,2022-09-27 16:20:50,11554
564,FC-8300T20094181,2022-09-27 16:22:11,20193
505,OX-8862021010096,2022-09-27 16:22:02,7535
653,OX-8862021010014,2022-09-27 16:24:28,22945
668,OX-8862021010003,2022-09-27 16:29:06,21788
48,FC-8300T20094181,2022-09-27 16:26:19,20194
567,OX-8862021010082,2022-09-27 16:28:35,11555
605,OX-8862021010015,2022-09-27 16:26:59,14876
626,OX-8862021010095,2022-09-27 16:29:29,10759
506,OX-8862021010095,2022-09-27 16:31:00,10760
201,OX-8862021010003,2022-09-27 16:36:02,21789
593,FC-8300T20094179,2022-09-27 16:33:59,33951
270,OX-8862021010100,2022-09-27 16:35:04,18758
565,OX-8862021010015,2022-09-27 16:33:10,14877
64,FC-8300T20094179,2022-09-27 16:36:02,33952
50,OX-8862021010014,2022-09-27 16:34:47,22946
403,OX-8862021010013,2022-09-27 16:35:39,6609
89,OX-8862021010098,2022-09-27 16:38:19,13384
89,OX-8862021010098,2022-09-27 16:38:28,13385
504,OX-8862021010100,2022-09-27 16:35:11,18759
33,OX-8862021010014,2022-09-27 16:35:16,22947
607,OX-8862021010098,2022-09-27 16:38:36,13386
64,FC-8300T20094179,2022-09-27 16:37:21,33953
145,FC-8300T20094179,2022-09-27 16:37:22,33954
529,OX-8862021010092,2022-09-27 16:37:04,23620
593,FC-8300T20094179,2022-09-27 16:38:02,33955
73,FC-8300T20094179,2022-09-27 16:38:22,33956
513,FC-8300T20094181,2022-09-27 16:38:35,20195
505,OX-8862021010096,2022-09-27 16:37:50,7536
505,OX-8862021010096,2022-09-27 16:37:54,7537
147,OX-8862021010094,2022-09-27 16:39:58,11325
256,OX-8862021010096,2022-09-27 16:39:48,7538
275,OX-8862021010094,2022-09-27 16:41:33,11326
506,OX-8862021010095,2022-09-27 16:42:22,10761
538,OX-8862021010078,2022-09-27 16:48:05,13002
270,OX-8862021010100,2022-09-27 16:48:12,18760
275,OX-8862021010094,2022-09-27 16:46:43,11327
657,OX-8862021010097,2022-09-27 16:48:19,8137
513,FC-8300T20094181,2022-09-27 16:50:16,20196
89,OX-8862021010098,2022-09-27 16:53:16,13387
89,OX-8862021010098,2022-09-27 16:56:02,13388
632,OX-8862021010001,2022-09-27 16:33:30,11320
53,OX-8862021010087,2022-09-27 16:57:06,255
48,FC-8300T20094181,2022-09-27 16:54:45,20197
119,OX-8862021010092,2022-09-27 16:55:58,23621
554,OX-8862021010024,2022-09-27 16:58:19,13985
404,OX-8862021010013,2022-09-27 16:57:20,6610
404,OX-8862021010013,2022-09-27 16:58:12,6611
62,OX-8862021010015,2022-09-27 16:58:22,14878
529,OX-8862021010092,2022-09-27 16:59:50,23622
255,FC-8300T20094179,2022-09-27 17:01:45,33957
565,OX-8862021010015,2022-09-27 17:00:55,14879
62,OX-8862021010015,2022-09-27 17:02:23,14880
403,OX-8862021010013,2022-09-27 17:03:43,6612
531,OX-8862021010100,2022-09-27 17:05:51,18761
89,OX-8862021010098,2022-09-27 17:07:23,13389
668,OX-8862021010003,2022-09-27 17:08:16,21790
89,OX-8862021010098,2022-09-27 17:09:00,13390
524,OX-8862021010003,2022-09-27 17:10:34,21791
567,OX-8862021010082,2022-09-27 17:09:29,11556
531,OX-8862021010100,2022-09-27 17:10:21,18762
674,OX-8862021010100,2022-09-27 17:11:19,18763
145,FC-8300T20094179,2022-09-27 17:11:50,33958
621,OX-8862021010092,2022-09-27 17:11:55,23623
567,OX-8862021010082,2022-09-27 17:13:17,11557
256,OX-8862021010096,2022-09-27 17:10:45,7539
64,FC-8300T20094179,2022-09-27 17:14:55,33959
592,OX-8862021010094,2022-09-27 17:14:47,11328
524,OX-8862021010003,2022-09-27 17:21:40,21792
257,OX-8862021010096,2022-09-27 17:16:54,7540
89,OX-8862021010098,2022-09-27 17:21:10,13391
632,OX-8862021010001,2022-09-27 16:58:20,11321
255,FC-8300T20094179,2022-09-27 17:20:11,33960
549,FC-8300T20094179,2022-09-27 17:20:15,33961
119,OX-8862021010092,2022-09-27 17:21:54,23624
569,OX-8862021010079,2022-09-27 17:25:44,12555
621,OX-8862021010092,2022-09-27 17:22:20,23625
33,OX-8862021010014,2022-09-27 17:22:22,22948
269,OX-8862021010100,2022-09-27 17:25:23,18764
619,OX-8862021010096,2022-09-27 17:21:52,7541
592,OX-8862021010094,2022-09-27 17:23:17,11329
673,OX-8862021010092,2022-09-27 17:24:24,23626
275,OX-8862021010094,2022-09-27 17:26:00,11330
569,OX-8862021010079,2022-09-27 17:31:11,12556
581,FC-8300T20094179,2022-09-27 17:28:47,33962
53,OX-8862021010087,2022-09-27 17:30:23,256
675,OX-8862021010078,2022-09-27 17:32:28,13003
